"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"132";48779;"R_10pp_ROI";2;0,00130294101912794;19,7172;57,7492;-15,7775;"R";1,01999156696166;-0,0161119943852836;0;1431,63350275331;79
"133";48780;"R_10pp_ROI";2;0,00132773617837619;19,5811;56,66;-16,7419;"R";1,01995813018003;-0,0162574190513403;0;1396,16087906905;395
"134";48781;"R_10pp_ROI";2;0,00135254224637451;19,4499;55,5209;-17,6579;"R";1,01992094496488;-0,00733701922530608;0;1522,43534551261;79
"135";48782;"R_10pp_ROI";2;0,00137712923554816;19,3227;54,3332;-18,5259;"R";1,01989182366304;-0,010536379967972;0;1325,06110200178;113
"136";48783;"R_10pp_ROI";2;0,00140179649975763;19,1992;53,0979;-19,3465;"R";1,01985241163559;-0,00213765968476779;0;1421,8833254351;275
"137";48784;"R_10pp_ROI";2;0,0014274007209869;19,0788;51,816;-20,1206;"R";1,01983865250898;-0,0110621124462733;0;1351,13000641915;307
"138";48806;"R_10pp_ROI";1;0,00145240913714708;19,6251;62,5781;-9,375;"R";1,01979913683414;0,0310411495967898;1;1591,30316834546;258
"139";48807;"R_10pp_ROI";1;0,00147747270074454;19,4492;61,7724;-10,6135;"R";1,0197800685467;0,0250326364696734;1;1595,93964609367;401
"140";48808;"R_10pp_ROI";1;0,00150254114437644;19,2814;60,9101;-11,8075;"R";1,01974742996681;0,0158743184777268;1;1612,69959037997;526
"141";48809;"R_10pp_ROI";1;0,0015276463731254;19,1217;59,9924;-12,9555;"R";1,01971339525334;0,00773545975794184;1;1601,77669759433;1038
"142";48810;"R_10pp_ROI";1;0,00155295464342673;18,97;59,0207;-14,0566;"R";1,01968380045597;-0,00263294188571615;0;1587,52724731727;948
"143";48811;"R_10pp_ROI";1;0,00157861279480382;18,8258;57,996;-15,1099;"R";1,01966304843426;-0,00223640007238627;0;1424,75743038149;12
"144";48812;"R_10pp_ROI";2;0,00160387922245336;18,6887;56,9196;-16,1148;"R";1,01959877597693;-0,0331085886200512;0;1357,00950294745;320
"145";48813;"R_10pp_ROI";2;0,0016292844590145;18,5582;55,7926;-17,0709;"R";1,01956225853623;-0,00867648295485181;0;1465,06705593159;732
"146";48814;"R_10pp_ROI";2;0,0016547669106351;18,4336;54,6161;-17,9782;"R";1,01952651067617;-0,00781797451964026;0;1513,90001586241;837
"147";48815;"R_10pp_ROI";3;0,00168221846320737;18,3144;53,3911;-18,8368;"R";1,01951527733831;-0,000379315437173052;0;1472,62792664051;150
"148";48838;"R_10pp_ROI";1;0,00170843148128706;18,6192;61,9163;-9,73806;"R";1,01948108878496;0,0293062491053551;1;1489,83332598354;162
"149";48839;"R_10pp_ROI";1;0,00173482104529352;18,4436;61,0695;-10,9689;"R";1,0194741526644;0,0293436279262284;1;1476,87432262675;135
"150";48840;"R_10pp_ROI";1;0,00176119678300808;18,2771;60,1667;-12,1552;"R";1,01942094721017;0,0212303084477248;1;1504,06186897835;143
"151";48841;"R_10pp_ROI";1;0,00178735994388867;18,1195;59,2093;-13,2955;"R";1,01941311117237;0,0122346047512521;1;1518,05311190995;97
"152";48842;"R_10pp_ROI";1;0,00181389366312792;17,9708;58,1983;-14,3888;"R";1,01938394457729;-0,00115336099954711;0;1643,91372073603;99
"153";48843;"R_10pp_ROI";1;0,00184045176584111;17,8306;57,135;-15,4339;"R";1,01931033445988;0,0146579402477003;1;1495,54051418734;47
"154";48844;"R_10pp_ROI";2;0,00186703522528759;17,6985;56,0204;-16,4303;"R";1,01930412263643;-0,0137501847012992;0;1532,56183597608;172
"155";48845;"R_10pp_ROI";2;0,00189372008591758;17,574;54,8556;-17,3775;"R";1,01928633675949;-0,0185492911324156;0;1572,42376755226;431
"156";48846;"R_10pp_ROI";2;0,0019199283532747;17,4563;53,6415;-18,2751;"R";1,01922708154991;-0,00944627393971887;0;1467,22737318501;129
"157";48847;"R_10pp_ROI";2;0,00194677304063078;17,3451;52,3792;-19,1232;"R";1,01922133507661;-0,0144869726974473;0;1411,18613526705;186
"158";48870;"R_10pp_ROI";1;0,00197326249217423;17,6492;61,1853;-10,081;"R";1,01915717002629;0,0348590426630112;1;1484,26586279483;116
"159";48871;"R_10pp_ROI";1;0,00199996036979089;17,4752;60,2977;-11,3042;"R";1,01910119220108;0,0229720407708011;1;1601,33199305634;97
"160";48872;"R_10pp_ROI";1;0,00202619105044489;17,311;59,3548;-12,4825;"R";1,01910072928862;0,00671169870285456;1;1494,94410882273;66
