"";"x";"y";"z";"Label";"Hemisphere"
"11928";"-37.8612";"-84.3348";"42.6659";"L_PGs_ROI";"L"
"11929";"-38.441";"-83.3965";"43.4821";"L_PGs_ROI";"L"
"11930";"-39.0243";"-82.4301";"44.2389";"L_PGs_ROI";"L"
"11931";"-39.6106";"-81.4374";"44.9345";"L_PGs_ROI";"L"
"11932";"-40.199";"-80.4206";"45.5681";"L_PGs_ROI";"L"
"11933";"-40.7887";"-79.382";"46.1403";"L_PGs_ROI";"L"
"11934";"-41.3787";"-78.3238";"46.6528";"L_PGs_ROI";"L"
"11935";"-41.9678";"-77.2485";"47.108";"L_PGs_ROI";"L"
"11936";"-42.5551";"-76.1582";"47.5091";"L_PGs_ROI";"L"
"11937";"-43.1397";"-75.0551";"47.8599";"L_PFm_ROI";"L"
"11938";"-43.7208";"-73.9413";"48.1644";"L_PFm_ROI";"L"
"11939";"-44.2979";"-72.8186";"48.4267";"L_PFm_ROI";"L"
"11940";"-44.8704";"-71.6889";"48.6511";"L_PFm_ROI";"L"
"11941";"-45.4383";"-70.5538";"48.8417";"L_PFm_ROI";"L"
"11942";"-46.0013";"-69.4148";"49.0023";"L_PFm_ROI";"L"
"11943";"-46.5594";"-68.2734";"49.1363";"L_PFm_ROI";"L"
"11944";"-47.1129";"-67.131";"49.2469";"L_PFm_ROI";"L"
"11945";"-47.6621";"-65.9887";"49.3366";"L_PFm_ROI";"L"
"11946";"-48.2072";"-64.848";"49.4075";"L_PFm_ROI";"L"
"11947";"-48.7486";"-63.7098";"49.4611";"L_PFm_ROI";"L"
"11948";"-49.2868";"-62.5752";"49.4982";"L_PFm_ROI";"L"
"11949";"-49.8223";"-61.4455";"49.5191";"L_PFm_ROI";"L"
"11950";"-50.3555";"-60.3216";"49.5233";"L_PFm_ROI";"L"
"11951";"-50.8869";"-59.2048";"49.5097";"L_PFm_ROI";"L"
"11952";"-51.4172";"-58.0961";"49.4765";"L_PFm_ROI";"L"
"11953";"-51.947";"-56.997";"49.4209";"L_PFm_ROI";"L"
"11954";"-52.4776";"-55.909";"49.3391";"L_PFm_ROI";"L"
"11955";"-53.0107";"-54.8342";"49.2256";"L_PFm_ROI";"L"
"11956";"-53.5491";"-53.7757";"49.0727";"L_PFm_ROI";"L"
"11957";"-22.3249";"-97.099";"24.9726";"L_V3A_ROI";"L"
"11958";"-23.1458";"-96.8404";"25.4096";"L_V3A_ROI";"L"
"11959";"-23.9591";"-96.5434";"25.8619";"L_V3B_ROI";"L"
"11960";"-24.7618";"-96.2079";"26.3448";"L_V3B_ROI";"L"
"11961";"-25.5516";"-95.8349";"26.8701";"L_V3B_ROI";"L"
"11962";"-26.3263";"-95.4261";"27.4463";"L_V3B_ROI";"L"
"11963";"-27.0838";"-94.9838";"28.0796";"L_V3B_ROI";"L"
"11964";"-27.8225";"-94.51";"28.7732";"L_V3B_ROI";"L"
"11965";"-28.5411";"-94.0072";"29.5283";"L_V3B_ROI";"L"
"11966";"-29.2386";"-93.4771";"30.3433";"L_V3B_ROI";"L"
"11967";"-29.9149";"-92.9215";"31.2146";"L_IP0_ROI";"L"
"11968";"-30.5703";"-92.3414";"32.1367";"L_IP0_ROI";"L"
"11969";"-31.2059";"-91.7374";"33.1021";"L_IP0_ROI";"L"
"11970";"-31.8237";"-91.1096";"34.1025";"L_IP0_ROI";"L"
"11971";"-32.4258";"-90.4573";"35.1282";"L_IP0_ROI";"L"
"11972";"-33.0151";"-89.7798";"36.1693";"L_IP0_ROI";"L"
"11973";"-33.5948";"-89.0758";"37.2155";"L_IP0_ROI";"L"
"11974";"-34.1678";"-88.344";"38.2565";"L_IP0_ROI";"L"
"11975";"-34.7372";"-87.5831";"39.2824";"L_IP1_ROI";"L"
